project_id,check_oss_requirements,gas_fees,transaction_count,trusted_transaction_count,trusted_transaction_share,trusted_users_onboarded,daily_active_addresses,trusted_daily_active_users,monthly_active_addresses,trusted_monthly_active_users,recurring_addresses,trusted_recurring_users,power_user_addresses
SaXSYwJ5Gr4V4mwVN-b3nS6NbRYbY0zufdVVBje99J4=,False,9.067894184,217429,302,0.001388959154,6,37.98297872,0.6978723404,463.5802469,17.77777778,346,7,236
VrOrkjT8AJ7WgJxnK8xAi6bWEGUsny_1r-bgRJ5LIDA=,True,257.9435462,735488,1023,0.001390913244,5,201.787234,1.412765957,2566.17,26.41975309,1728,8,132
z4TnF01gJ-KcKo1VBAn4xr5vrrHHX0Mr_eMLAaSYbgM=,True,1.152377831,115263,219,0.001900002603,8,26.87659574,0.7914893617,385.8024691,17.65432099,106,3,196
UF36qYsUzfwX6GDNuWgpDXrqsmrLcK4Rw5D4hZY5Pxc=,True,126.2933314,4082925,10242,0.002508495748,389,1517.67,39.60425532,40303.83,952.345679,7244,459,2794
tCWfRynYpmr1pMuaVTk9I2Uhz1RXZg05buXdRVDhTgw=,True,307.748344,663614,3110,0.004686459297,6,149.2553191,7.208510638,1022.47,88.02469136,703,53,841
Q8XI5uvgwOT41A1eWKKVRoQdzjDvYXRtVLpT6n7KVrg=,True,3.139013113,55687,264,0.004740783307,0,23.10638298,1.106382979,439.2592593,31.35802469,16,0,204
7BgG9kGGcmyzlhuIDM9OgK5RUQfRWSmhhLhx94zeacg=,False,7.420017258,321649,1942,0.0060376373,8,78.33191489,2.634042553,792.7160494,41.35802469,566,29,759
sbnlvN2OV8y140ijKiAr12nnhEkcKAYZyaxtOZOteqs=,True,13.17545692,304669,2815,0.009239535365,59,201.8212766,11.42978723,5365.06,312.5925926,474,65,1727
7gqfws0MWRPiMksDMMfnZZFhU66gzItyl2x5wJa6mEE=,True,7.215337501,539773,8450,0.01565472893,215,918.5361702,32.60851064,22588.40,776.7901235,6290,423,2584
tcJvWiZJInhq79YFWAhvTjB-bNjhTM4evTflhFk1tNc=,True,1.444713135,70017,1115,0.015924704,122,55.4212766,4.336170213,1354.57,110.4938272,51,6,424
2NZjXsMnsZoT5N4kz3DczXmFPvrLi_j33Cm-GcLR1TM=,False,3.704643092,231616,3870,0.01670869025,67,263.4255319,7.417021277,1963.58,125.8024691,438,50,184
aVyyHCAyvC17oFRmyiZz_fgZ1yWnZPrBwhmF3oRqT1w=,True,163.9131007,104138,2001,0.01921488794,2,109.5914894,7.434042553,2145.43,162.962963,1918,126,1208
L0t4mfByXjqq-D2chMAXxTszaL3NYeO4bFskYLggAgw=,True,4.565524896,60968,1421,0.02330730875,54,161.7319149,4.217021277,3934.07,95.43209877,802,50,402
e1f99wHPWlA4tbG2BGGqacK7zZJhL2sdpBTB_85GJpY=,False,5.970501344,122458,3098,0.02529846968,2,84.47659574,4.604255319,1444.94,93.08641975,459,28,718
uYLjQ55HRs_nAw4G3VwtNhdWBf5QfNb28fpeL7Dtlfs=,True,2.061105514,93022,2354,0.02530584163,46,112.1702128,8.659574468,2836.79,208.6419753,389,81,903
gYPWrgRG5OLSJggPaUEZnsBzGFeO760OKtzGP6QOaPY=,True,8.090519588,13630,386,0.02831988261,0,20.11489362,1.293617021,307.2839506,28.88888889,110,4,283
ivpgC5yom94eofeYj4k22SwDAVPdLP2Wt19FDINLPLo=,False,21.58174816,271325,8444,0.03112134894,10,262.2680851,15.71489362,2811.60,172.5925926,2446,170,1552
Mjx12gwAspKWigyP6Dg3FVwrRgxwxvXyvcfwrR7T-HY=,True,22.27342274,522095,17114,0.032779475,375,597.2042553,45.24680851,10727.53,716.7901235,3995,513,1846
bEZxDyg6q6E1iYE3bJp8CyagoUShG0lUxmvF_eeLyyo=,True,1.647135697,72083,2434,0.03376663013,87,228.4170213,8.634042553,5487.28,212.345679,742,47,1544
w3cYd84PoRdRJ0aJSg_A5Fn_WPpCROPaeq403DjEOAg=,False,9.567628269,585025,20022,0.03422417845,397,802.387234,60.89361702,18485.43,1364.44,3863,959,2272
QltZuORSeUv2rFJ2ue2dvqFPlQ6hjG5OKG35dgDq0aM=,True,15.66947002,219891,7579,0.03446707687,278,236.2382979,26.68510638,5350.49,646.2962963,1765,313,3423
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,False,88.76516211,2443055,84615,0.03463491407,1849,7713.40,244.8297872,177394.81,4212.72,106079,5120,5510
jUda1pi-FdNlaUmgKq51B4h8x4wX3QTN2fZkKq6N0vw=,True,1.83398193,44660,1553,0.03477384684,5,70.98723404,3.821276596,1238.64,81.97530864,598,26,457
UvSAZLlu9KW-oJ2x4UXpVMlNKng07ORDuT8a9fN10g0=,True,3.727376322,65160,2276,0.03492940454,19,25.31914894,2.119148936,410.9876543,42.59259259,84,6,353
ydlWhmBPCDOAvTistbM_sxpgOCItnmgrzgGWXwCmICw=,False,3.931790719,33622,1214,0.03610731069,3,43.75319149,2.774468085,608.7654321,57.65432099,411,25,497
EzfIm6HTJ8t1dZCJ0WukRqqZgEyX_6Hd64B4SK0ciqw=,True,15.59155096,217939,7987,0.03664786936,18,205.9404255,13.70212766,1791.11,112.2222222,1322,91,963
EhPGap_lKavTMqT2DUdCSDKsQaAiG99v0Rq__pINhMM=,True,15.82257455,386512,14831,0.03837138304,477,913.5574468,49.11914894,19335.68,989.2592593,6313,640,3615
UQrhi8C2lSXtgkojDyC0Vqo4NvwHsYkOFRDUhlVkv80=,True,130.2122375,654131,27609,0.04220714199,35,436.9617021,26.12340426,3254.32,227.4074074,3164,219,1497
kVeul81pcomlG3BHGnuKWAECfpCk_XLxN_AUgTWbkWo=,True,1.781041372,55579,2495,0.04489105597,88,175.2851064,7.523404255,4341.98,167.7777778,646,60,631
xXMriwXHhCcyhqDEKlRr2FeNRm4jLHnRbZiN-8UaMF4=,False,1.596975222,60532,2752,0.04546355647,31,182.1617021,8.642553191,4417.78,170.617284,1903,162,548
LOZXloZfVxGx7h5Na3R-5RcR86-mMDDJuKiE4q_hJOY=,True,4.103570907,322328,14703,0.04561502569,1047,1092.60,50.82978723,27296.42,1176.54,6519,592,2621
LHZrg3Wy1VbccX9lkavXmUGYz2X0nyfmNssBNDI_JqQ=,True,0.5827655214,18632,855,0.04588879347,10,41.44680851,2.621276596,897.9012346,60.74074074,416,42,1106
IBSH7dQG0hSQE6oJo9G_xrHxhW4wUt8iiYGn2Ob65c8=,False,0.8471518958,23297,1125,0.04828947933,1,36.8,2.289361702,600.9876543,39.38271605,302,23,458
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,True,64.48878623,2087910,102827,0.0492487703,397,2414.42,187.093617,27504.44,1975.19,20037,1891,6169
4ARwDn4G8TDYaA-IADNZk2u0EcprJ7MxGKYge7spfaM=,True,1.190930794,31566,1555,0.04926186403,14,20.84680851,3.85106383,479.8765432,79.75308642,90,39,255
Y6BohTU6jJvc4HcCFaKcphCrPy6uYyWTYo00gCatUrE=,False,5.764652779,153953,7630,0.04956058018,46,222.9659574,13.17021277,3140,213.4567901,2466,147,1917
