application_id,is_oss,gas_fees,transaction_count,trusted_transaction_count,trusted_transaction_share,trusted_users_onboarded,daily_active_addresses,trusted_daily_active_users,monthly_active_addresses,trusted_monthly_active_users,recurring_addresses,trusted_recurring_users,power_user_addresses,openrank_trusted_users_count,log_gas_fees,log_transaction_count,log_trusted_transaction_count
SaXSYwJ5Gr4V4mwVN-b3nS6NbRYbY0zufdVVBje99J4=,True,10.3540933,622906.0,56825.0,0.09122564239,821.0,1263.37,126.192623,24398.15,2326.54,10650.0,1769.0,25044.0,230.0,1.055152459,5.794423211,4.754547087
VrOrkjT8AJ7WgJxnK8xAi6bWEGUsny_1r-bgRJ5LIDA=,False,0.02838360238,3873.0,452.0,0.1167053963,17.0,12.5,1.549180328,305.0617284,40.0,32.0,3.0,636.0,5.0,0.01215514318,3.588159616,2.656098202
z4TnF01gJ-KcKo1VBAn4xr5vrrHHX0Mr_eMLAaSYbgM=,True,0.02613680305,4523.0,491.0,0.108556268,3.0,10.0,1.237704918,206.2962963,27.28395062,103.0,13.0,598.0,10.0,0.01120526414,3.655522596,2.691965103
UF36qYsUzfwX6GDNuWgpDXrqsmrLcK4Rw5D4hZY5Pxc=,False,0.6807007586,73492.0,103.0,0.0,4.0,6.901639344,0.3360655738,66.2962963,8.641975309,26.0,3.0,111.0,4.0,0.2254903961,4.866245976,2.017033339
tCWfRynYpmr1pMuaVTk9I2Uhz1RXZg05buXdRVDhTgw=,True,75.06608293,1739387.0,88221.0,0.05071959259,2263.0,3728.64,239.7991803,67667.78,3756.17,31404.0,3494.0,24090.0,1094.0,1.881191053,6.24039647,4.945576899
Q8XI5uvgwOT41A1eWKKVRoQdzjDvYXRtVLpT6n7KVrg=,False,0.01195215622,6435.0,0.0,0.0,0.0,7.586065574,0.0,163.2098765,0.0,1.0,0.0,0.0,0.0,0.005159980113,3.808616035,0.0
7BgG9kGGcmyzlhuIDM9OgK5RUQfRWSmhhLhx94zeacg=,False,1.95881436e-05,3.0,0.0,0.0,0.0,0.01229508197,0.0,0.3703703704,0.0,0.0,0.0,0.0,0.0,8.506939358e-06,0.6020599913,0.0
sbnlvN2OV8y140ijKiAr12nnhEkcKAYZyaxtOZOteqs=,True,0.3994353701,55592.0,1374.0,0.02471578644,176.0,16.65163934,4.475409836,322.5925926,95.43209877,29.0,11.0,745.0,42.0,0.1459528463,4.745020111,3.138302698
7gqfws0MWRPiMksDMMfnZZFhU66gzItyl2x5wJa6mEE=,True,0.3264073119,75928.0,5773.0,0.07603255716,20.0,244.5819672,20.09016393,4734.94,289.5061728,713.0,0.0,7327.0,46.0,0.1226769073,4.88040768,3.76147678
tcJvWiZJInhq79YFWAhvTjB-bNjhTM4evTflhFk1tNc=,False,0.2034733284,16282.0,2017.0,0.1238791303,10.0,17.83606557,2.229508197,312.962963,42.96296296,78.0,9.0,700.0,5.0,0.08043646981,4.211734423,3.304921162
2NZjXsMnsZoT5N4kz3DczXmFPvrLi_j33Cm-GcLR1TM=,True,4.807074624,89280.0,10632.0,0.1190860215,119.0,88.63114754,28.26229508,1967.78,627.9012346,108.0,65.0,6168.0,268.0,0.763957407,4.950759046,4.026655814
aVyyHCAyvC17oFRmyiZz_fgZ1yWnZPrBwhmF3oRqT1w=,False,2.614231487,245136.0,18755.0,0.07650855036,516.0,366.2622951,43.12295082,8641.98,985.4320988,1166.0,284.0,12944.0,108.0,0.5580159651,5.389408867,4.273140224
L0t4mfByXjqq-D2chMAXxTszaL3NYeO4bFskYLggAgw=,False,0.3887004352,435608.0,146998.0,0.3374547759,844.0,379.7704918,147.9098361,5252.47,1590.0,715.0,539.0,13308.0,826.0,0.1426085716,5.639096844,5.16731438
e1f99wHPWlA4tbG2BGGqacK7zZJhL2sdpBTB_85GJpY=,True,0.03274858228,2962.0,210.0,0.0,6.0,10.58196721,0.7336065574,254.4444444,14.81481481,53.0,8.0,214.0,6.0,0.01399460747,3.471731651,2.324282455
uYLjQ55HRs_nAw4G3VwtNhdWBf5QfNb28fpeL7Dtlfs=,False,0.06206500603,3545.0,573.0,0.1616361072,45.0,9.049180328,2.135245902,262.2222222,59.87654321,9.0,6.0,394.0,36.0,0.02615109951,3.549738731,2.758911892
gYPWrgRG5OLSJggPaUEZnsBzGFeO760OKtzGP6QOaPY=,False,0.1410314804,3036.0,116.0,0.0,5.0,9.090163934,0.3401639344,223.2098765,7.530864198,17.0,3.0,212.0,2.0,0.05729762651,3.482444792,2.068185862
ivpgC5yom94eofeYj4k22SwDAVPdLP2Wt19FDINLPLo=,False,0.2737123396,36270.0,2228.0,0.06142817756,67.0,60.68442623,6.032786885,1620.25,148.1481481,95.0,21.0,566.0,79.0,0.1050713562,4.559559529,3.348110068
Mjx12gwAspKWigyP6Dg3FVwrRgxwxvXyvcfwrR7T-HY=,True,203.2287742,2369916.0,11.0,0.0,0.0,234.9180328,0.03278688525,419.0123457,0.8641975309,416.0,0.0,2.0,4.0,2.310116931,6.374733136,1.079181246
bEZxDyg6q6E1iYE3bJp8CyagoUShG0lUxmvF_eeLyyo=,False,26.09279359,1036884.0,26539.0,0.02559495566,833.0,804.0122951,88.76229508,21254.44,2217.16,3858.0,925.0,28938.0,321.0,1.432853788,6.015730592,4.423900919
w3cYd84PoRdRJ0aJSg_A5Fn_WPpCROPaeq403DjEOAg=,False,118.9789502,3959551.0,334605.0,0.08450579371,1929.0,4183.78,383.2213115,58219.88,4351.6,37191.0,3999.0,39247.0,701.0,2.079105057,6.597646051,5.524533724
QltZuORSeUv2rFJ2ue2dvqFPlQ6hjG5OKG35dgDq0aM=,False,11.84380166,448656.0,12633.0,0.02815743019,130.0,719.1967213,13.98360656,14427.41,247.4074074,6092.0,117.0,6910.0,35.0,1.10869359,5.651914448,4.101540873
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,False,0.02427014965,1049.0,0.0,0.0,0.0,0.8647540984,0.0,1.975308642,0.0,1.0,0.0,1.0,0.0,0.01041451624,3.021189299,0.0
jUda1pi-FdNlaUmgKq51B4h8x4wX3QTN2fZkKq6N0vw=,True,0.06509420897,2404.0,179.0,0.0,2.0,6.094262295,0.3278688525,162.7160494,7.654320988,12.0,3.0,73.0,11.0,0.02738802339,3.381115081,2.255272505
UvSAZLlu9KW-oJ2x4UXpVMlNKng07ORDuT8a9fN10g0=,False,0.6837674429,4162.0,642.0,0.1542527631,3.0,8.393442623,1.504098361,137.037037,25.18518519,24.0,6.0,261.0,9.0,0.2262821078,3.619406411,2.808210973
ydlWhmBPCDOAvTistbM_sxpgOCItnmgrzgGWXwCmICw=,False,0.05007349242,5580.0,166.0,0.0,1.0,4.446721311,0.2991803279,79.50617284,4.691358025,31.0,2.0,93.0,0.0,0.02121969549,3.746712023,2.222716471
EzfIm6HTJ8t1dZCJ0WukRqqZgEyX_6Hd64B4SK0ciqw=,False,0.2533944717,9471.0,1964.0,0.2073698659,77.0,31.19262295,6.893442623,900.617284,197.9012346,17.0,4.0,1642.0,67.0,0.09808777483,3.976441689,3.293362555
EhPGap_lKavTMqT2DUdCSDKsQaAiG99v0Rq__pINhMM=,False,0.08824213689,3517.0,982.0,0.2792152403,16.0,7.012295082,2.18442623,97.16049383,26.66666667,23.0,15.0,226.0,36.0,0.03672553784,3.546295835,2.992553518
UQrhi8C2lSXtgkojDyC0Vqo4NvwHsYkOFRDUhlVkv80=,True,0.3315534745,14809.0,1083.0,0.073131204,26.0,30.81147541,2.307377049,486.9135802,38.7654321,288.0,25.0,644.0,7.0,0.1243586122,4.170555059,3.035029282
kVeul81pcomlG3BHGnuKWAECfpCk_XLxN_AUgTWbkWo=,False,17.64316967,584536.0,27988.0,0.04788071222,159.0,176.8483607,40.54918033,2679.63,752.345679,875.0,261.0,6935.0,58.0,1.270519752,5.766812006,4.446987382
